Name,Period,Period_Err,Pdot_lim,Pdot,Pdot_Err,B_lim,B,Edot_lim,Edot,Age_lim,Age,Ref_Time,NH,NH_EUp,NH_EDn,Gamma,Gamma_EUp,Gamma_EDn,kT,kT_EUp,kT_EDn,kT2,kT2_EUp,kT2_EDn,Flux_lim,Flux,Flux_EUp,Flux_EDn,Ref_Xray,Dist_lim,Dist,Dist_EUp,Dist_EDn,Ref_Dist,Lumin_lim,Lumin,Assoc,Ref_Assoc,OptIR,Bands,Activity,RA,RA_Err,Decl,Decl_Err,Ref_Pos
SGR 1833-0832,7.5654084,0.0000004,,3.5E-12,3E-13,,1.65E+14,,3.19E+32,,3.42E+4,eit+11,,,,,,,,,,,,,<,2E-13,,,eit+11,,,,,,,,,,no,X,B,18 33 44.37,0.03,-08 31 07.5,0.4,gcl+10
Swift J1834.9-0846,2.4823018,0.0000001,,7.96E-12,1.2E-13,,1.42E+14,,2.05E+34,,4.94E+3,kkp+12,,,,,,,,,,,,,<,4E-15,,,ykk+12,,4.2,0.3,0.3,lt08a,<,8.4E+30,SNR W41,kkp+12,no,X,BT,18 34 52.118,0.040,-08 45 56.02,0.60,kkp+12
1E 1841-045,11.788978,0.000001,,4.092E-11,1.5E-13,,7.03E+14,,9.86E+32,,4.57E+3,dk14,2.2E+22,1E+21,1E+21,1.9,0.2,0.2,0.45,0.03,0.03,,,,,2.13E-11,,,ks10,,8.5,1.3,1.0,tl08,,1.8E+35,SNR Kes 73,vg97,maybe,HX,BG,18 41 19.343,0.020,-04 56 11.16,0.30,wpk+04
3XMM J185246.6+003317,11.55871346,0.00000006,<,1.4E-13,,<,4.07E+13,<,3.58E+30,>,1.31E+6,rvi+14,,,,,,,,,,,,,<,1E-15,,,rvi+14,~,7.1,,,zcl+14,<,6.0E+30,,,no,X,T,18 52 46.67,0.02,+00 33 17.8,0.3,zcl+14
SGR 1900+14,5.19987,0.00007,,9.2E-11,4E-12,,7.00E+14,,2.58E+34,,8.96E+2,met+06b,2.12E+22,8E+20,8E+20,1.9,0.1,0.1,0.47,0.02,0.02,,,,,4.8E-12,2E-13,2E-13,met+06b,,12.5,1.7,1.7,dfk+09,,9.0E+34,Star cluster,vhl+00,maybe,HX,BF,19 07 14.33,0.01,+09 19 20.1,0.2,fkb99
SGR 1935+2154,3.2450650,0.0000001,,1.43E-11,1E-13,,2.18E+14,,1.65E+34,,3.60E+3,ier+16,1.6E+22,2E+21,2E+21,1.8,0.5,0.5,0.47,0.02,0.02,,,,,,,,ier+16,,,,,,,,SNR G57.2+0.8,GCN16533,no,HXR,B,19 34 55.5978,0.0503,+21 53 47.7864,0.7000,ier+16
1E 2259+586,6.9790427250,0.0000000015,,4.83695E-13,6.3E-17,,5.88E+13,,5.62E+31,,2.29E+5,dk14,1.012E+22,7E+19,7E+19,3.75,0.04,0.04,0.37,0.01,0.01,,,,,1.41E-11,3E-13,3E-13,zkd+08,,3.2,0.2,0.2,kf12,,1.7E+34,SNR CTB 109,fg81,yes,HXOI,BGA,23 01 08.295,0.077,+58 52 44.45,0.60,htv+01
SGR 0755-2933 #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,X,BT,07 55 42.48,0.15,-29 33 49.2,2.0,ATel8831
SGR 1801-23 #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,B,18 00 59,,-22 56 48,,cfg+00
SGR 1808-20 #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,B,18 08 11.2,29.5,-20 38 49,414,GCN2351
AX J1818.8-1559 #,,,,,,,,,,,,,3.6E+22,5E+21,5E+21,1.17,0.17,0.17,,,,,,,,1.68E-12,1.6E-13,1.5E-13,met+12,,,,,,,,,,no,X,B,18 18 51.38,0.04,-15 59 22.62,0.60,met+12
AX J1845.0-0258 #,6.97127,0.00028,,,,,,,,,,tkk+98,7.8E+22,2.3E+22,1.8E+22,1.0,0.5,0.3,,,,,,,,3.3E-13,7E-14,8E-14,tkgg06,~,8.5,,,tkk+98,,2.9E+33,SNR G29.6+0.1,ggv99,no,X,T,18 44 54.68,0.04,-02 56 53.1,0.6,tkgg06
SGR 2013+34 #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~,8.8,,,sbb+11,,,W58,sbb+11,no,,B,20 13 56.9,7.3,+34 19 48,90,sbb+11
PSR J1846-0258 ##,0.32657128834,0.00000000004,,7.107450E-12,2E-18,,4.88E+13,,8.06E+36,,7.28E+2,lnk+11,4.0E+22,1E+21,1E+21,1.1,0.1,0.1,,,,,,,,4.3E-12,7E-13,7E-13,"nsgh08, lnk+11",,6.0,1.5,0.9,lt08b,,1.9E+34,SNR Kes 75,gvbt00,no,HX,BG,18 46 24.94,0.01,-02 58 30.1,0.2,hcg03
